long,lat
-116.981407,43.682947
-116.981357,43.682955
-116.981335,43.682955
-116.98134,43.683053
-116.979523,43.682902
-116.981447,43.681917
-116.981503,43.681937
-116.981295,43.681842
-116.981497,43.681922
-116.981603,43.681873
-116.981583,43.6819
-116.981542,43.681828
-116.981362,43.681742
-116.981797,43.681972
-116.98162,43.681847
-116.981997,43.681978
-116.98186,43.681927
-116.981808,43.681927
-116.98172,43.681912
-116.981437,43.681748
-116.98137,43.68203
-116.981898,43.681985
-116.981698,43.68182
-116.981827,43.681868
-116.981463,43.681952
-116.981653,43.681915
-116.98162,43.681912
-116.98162,43.681895
-116.981628,43.681905
-116.981648,43.681902
-116.981668,43.681933
-116.981593,43.681908
-116.98163,43.6819
-116.981662,43.68193
-116.981635,43.6819
-116.981633,43.6819
-116.981628,43.681887
-116.981602,43.681905
-116.981657,43.681935
-116.981602,43.681893
-116.981612,43.681897
-116.981638,43.681925
-116.981563,43.681862
-116.981612,43.681908
-116.981657,43.681925
-116.98168,43.681927
-116.981602,43.68189
-116.98162,43.681915
-116.981655,43.68193
-116.981633,43.681897
-116.981605,43.681903
-116.98167,43.681935
-116.981647,43.681908
-116.981647,43.681907
-116.981603,43.681913
-116.981643,43.681918
-116.981655,43.68191
-116.981657,43.681908
-116.981655,43.681927
-116.98164,43.681905
-116.981543,43.681882
-116.981587,43.68188
-116.981632,43.6819
-116.982048,43.681075
-116.98206,43.681193
-116.982213,43.68125
-116.981978,43.681172
-116.982073,43.681243
-116.981953,43.681182
-116.98192,43.68116
-116.981493,43.680858
-116.956212,43.678137
-116.956258,43.678297
-116.956162,43.678288
-116.956297,43.678263
-116.95627,43.67821
-116.956357,43.678235
-116.956258,43.678207
-116.956292,43.67823
-116.9562,43.678252
-116.956233,43.678272
-116.956267,43.678152
-116.956243,43.678158
-116.956195,43.678145
-116.9562,43.678248
-116.956162,43.678112
-116.956185,43.678218
-116.956283,43.67824
-116.956365,43.678318
-116.956082,43.678172
-116.956462,43.678308
-116.956257,43.678198
-116.95635,43.678395
-116.956422,43.67825
-116.95626,43.678172
-116.956332,43.678125
-116.95628,43.678243
-116.95624,43.678255
-116.956605,43.678418
-116.956548,43.678448
-116.957612,43.679238
-116.961542,43.683893
-116.967563,43.688085
-116.971167,43.69339
-116.97535,43.693632
-116.976747,43.696382
-116.976292,43.694475
-116.976333,43.692023
-116.974267,43.691635
-116.973912,43.694663
-116.97368,43.696428
-116.976182,43.697402
-116.980285,43.696508
-116.97904,43.69525
-116.97707,43.69697
-116.97601,43.69591
-116.972855,43.697193
-116.972445,43.69394
-116.973607,43.691348
-116.975797,43.691283
-116.975823,43.691188
-116.976053,43.690613
-116.97594,43.691502
-116.975795,43.69242
-116.974828,43.692908
-116.972393,43.691497
-116.975525,43.693068
-116.975393,43.691458
-116.973237,43.691182
-116.973012,43.691892
-116.970947,43.691227
-116.971445,43.688578
-116.97182,43.685932
-116.975457,43.683688
-116.980015,43.68243
-116.981978,43.680332
-116.981472,43.677743
-116.98131,43.678058
-116.981245,43.678328
-116.981388,43.678027
-116.981392,43.678075
-116.98144,43.67809
-116.981472,43.67812
-116.981483,43.678087
-116.9814,43.678077
-116.981468,43.678112
-116.981505,43.6781
-116.9815,43.6781
-116.981525,43.678065
-116.981465,43.678118
-116.981445,43.678073
-116.981623,43.678135
-116.981415,43.678162
-116.981645,43.678148
-116.981605,43.678117
-116.981563,43.678088
-116.981658,43.678112
-116.981615,43.678115
