GeoType,GeoName,TotalPop,happening,happeningOppose,human,humanOppose,consensus,consensusOppose,affectweather,affectweatherOppose,worried,worriedOppose,harmplants,harmplantsOppose,futuregen,futuregenOppose,devharm,devharmOppose,harmUS,harmUSOppose,personal,personalOppose,timing,timingOppose,fundrenewables,fundrenewablesOppose,regulate,regulateOppose,CO2limits,CO2limitsOppose,reducetax,reducetaxOppose,supportRPS,supportRPSOppose,rebates,rebatesOppose,drillANWR,drillANWROppose,drilloffshore,drilloffshoreOppose,teachGW,teachGWOppose,corporations,corporationsOppose,citizens,citizensOppose,congress,congressOppose,governor,governorOppose,localofficials,localofficialsOppose,prienv,prienvOppose,discuss,discussOppose,mediaweekly,mediaweeklyOppose
CBSA,"Brenham, TX",23087,57.361,20.509,44.904,43.245,35.851,36.891,50.881,8.156,48.49,51.739,60.848,27.085,60.705,26.378,53.06,32.352,50.119,37.38,34.704,52.341,41.521,58.474,78.698,18.95,68.129,29.393,56.317,42.106,57.543,38.914,54.719,42.457,76.368,21.454,43.466,54.052,63.729,34.535,70.096,29.779,58.934,16.122,56.491,17.031,50.336,23.433,47.408,19.665,50.583,18.556,61.502,34.66,26.677,73.336,19.054,79.88
CBSA,"Brevard, NC",24839,65.349,16.092,54.092,33.286,47.132,31.523,57.535,6.631,54.463,45.34,67.39,22.807,65.534,23.56,56.814,30.408,52.893,36.129,35.521,54.374,45.775,54.221,84.85,12.641,75.486,21.764,68.143,30.327,64.612,32.022,60.796,36.821,80.76,16.7,38.512,59.644,56.866,41.974,76.227,23.439,63.352,13.547,60.288,13.974,56.214,18.672,51.335,17.581,52.542,17.231,66.359,31.149,32.336,67.555,22.251,76.944
CBSA,"Bridgeport-Stamford-Norwalk, CT",636392,76.036,9.604,64.7,24.726,56.122,23.482,69.471,5.001,69.897,29.6,78.319,13.979,78.258,13.067,69.471,20.059,65.316,25.74,43.678,47.255,55.628,44.372,88.384,9.444,81.578,15.912,77.518,21.421,73.557,23.97,67.435,29.183,84.138,13.394,27.807,71.296,43.869,54.135,83.925,16.028,75.002,9.097,71.628,9.134,69.228,11.87,60.271,11.168,61.28,11.799,73.707,23.986,39.403,60.063,26.485,72.637
CBSA,"Brookhaven, MS",22981,60.837,18.306,46.808,39.963,36.582,33.114,50.22,7.571,49.049,50.859,58.749,24.237,57.387,23.437,49.51,29.881,49.075,35.051,34.359,49.358,42.718,57.273,79.583,16.962,73.004,24.024,59.366,38.484,59.384,36.552,57.125,40.372,77.808,18.955,42.083,55.681,60.942,35.177,72.495,26.783,59.588,14.451,55.703,16.27,53.514,19.629,51.773,16.696,51.416,16.997,65.036,32.009,26.048,73.961,15.948,82.586
CBSA,"Brookings, OR",17756,66.682,17.076,52.748,35.661,46.283,31.595,58.589,7.136,56.195,43.715,68.94,22.212,67.166,22.06,59.783,29.37,54.855,35.847,36.821,54.387,46.058,53.931,83.076,14.068,74.589,22.415,65.099,33.555,64.097,33.166,59.878,37.401,80.029,17.177,34.276,62.131,47.978,48.784,76.093,23.806,65.809,13.956,62.469,14.305,58.071,20.63,48.423,21.277,52.557,17.679,67.808,29.95,36.861,62.908,26.262,72.882
CBSA,"Brookings, SD",17474,68.719,15.841,54.504,33.616,49.044,30.371,60.925,6.478,57.955,42,70.545,21.718,69.097,22.611,59.523,29.512,55.603,35.727,36.769,55.128,45.96,54.035,85.584,11.789,75.037,21.838,67.535,31.183,63.506,33.215,61.148,34.629,81.693,15.314,35.218,62.596,50.492,46.984,77.143,22.714,67.689,12.167,64.141,12.201,59.683,17.563,50.555,15.921,53.319,15.852,70.362,27.584,35.361,64.416,26.811,72.45
CBSA,"Brownsville, TN",12547,67.458,10.696,51.869,34.893,40.759,25.408,57.201,5.404,58.11,41.667,66.582,15.741,65.083,15.406,58.253,20.268,57.034,24.659,41.739,39.181,52.004,47.988,82.203,14.649,76.536,20.236,66.534,30.836,67.602,27.903,62.597,35.212,81.127,15.414,34.917,62.262,54.945,41.038,80.601,18.514,64.517,11.509,60.939,12.29,61.035,13.549,58.795,11.82,61.298,11.971,70.654,26.15,26.612,73.3,14.139,84.092
CBSA,"Brownsville-Harlingen, TX",241678,76.083,9.538,63.024,29.986,48.436,24.264,65.352,4.834,69.749,30.358,74.468,13.094,73.986,13.155,68.664,17.016,66.082,20.819,50.833,35.613,59.029,40.97,83.961,13.42,76.521,20.107,73.981,23.899,74.625,21.814,65.178,31.839,82.641,14.88,34.079,64.814,47.918,49.733,83.582,15.896,66.808,11.66,66.726,11.474,65.502,14.054,61.853,11.397,64.532,11.939,71.715,24.857,33.279,66.669,19.117,79.087
CBSA,"Brownwood, TX",25646,56.956,24.643,44.33,42.455,34.005,38.486,47.122,9.136,46.459,53.634,57.884,31.128,58.364,30.231,50.452,36.29,47.251,41.371,32.032,55.888,38.864,61.132,76.792,20.935,67.55,30.09,54.644,44.061,54.741,42.19,52.737,44.268,74.323,23.711,44.385,52.671,64.7,33.541,67.453,32.52,56.071,17.792,53.482,19.075,48.082,26.168,45.079,22.023,47.403,21.376,58.824,37.542,27.069,72.974,19.001,80.157
CBSA,"Brunswick, GA",79187,63.854,16.845,50.253,37.516,41.802,31.211,54.693,6.804,52.895,47.327,60.649,24.677,60.562,24.097,52.841,29.707,51.214,35.127,36.545,50.694,45.04,54.957,82.824,14.338,74.469,22.467,62.664,36.017,62.894,33.512,59.204,39.453,79.186,18.295,40.731,56.951,54.935,42.699,74.537,25.298,63.644,14.346,60.096,15.091,56.493,19.195,52.457,17.516,51.476,17.019,65.244,32.425,30.318,69.638,18.671,80.555
